,title,authors,venue,year
B_1242,netcube : a scalable tool for fast data mining and compression,"dimitris margaritis , christos faloutsos , sebastian thrun",very large data bases,2001
B_1243,db2 spatial extender - spatial data within the rdbms,david w. adler,very large data bases,2001
B_1244,the persistent cache : improving oid indexing in temporal object-oriented database systems,kjetil n &#248; rv &#229; g,very large data bases,1999
B_1245,efficient numerical error bounding for replicated network services,"haifeng yu , amin vahdat",very large data bases,2000
B_1246,memex : a browsing assistant for collaborative archiving and mining of surf trails,"soumen chakrabarti , sandeep srivastava , mallela subramanyam , mitul tiwari",very large data bases,2000
B_1247,building and customizing data-intensive web sites using weave,"khaled yagoub , daniela florescu , val &#233; rie issarny , patrick valduriez",very large data bases,2000
B_1248,"advanced data processing in krisys : modeling concepts , implementation techniques , and client/server issues","stefan de &#223; loch , theo h &#228; rder , nelson mattos , bernhard mitschang , joachim thomas",the vldb journal -- the international journal on very large data bases,1998
B_1249,maintenance of implication integrity constraints under updates to constraints,"naci s. ishakbeyoglu , z. meral ozsoyoglu",the vldb journal -- the international journal on very large data bases,1998
B_1250,data partitioning and load balancing in parallel disk systems,"peter scheuermann , gerhard weikum , peter zabback",the vldb journal -- the international journal on very large data bases,1998
B_1251,the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,"ashish mehta , james geller , yehoshua perl , erich neuhold",the vldb journal -- the international journal on very large data bases,1998
B_1252,a flexible and recoverable client/server database event notification system,"eric n. hanson , i.-cheng chen , roxana dastur , kurt engel , vijay ramaswamy , wendy tan , chun xu",the vldb journal -- the international journal on very large data bases,1998
B_1253,"optimizing relational queries in connection hypergraphs : nested queries , views , and binding propagations",jia liang han,the vldb journal -- the international journal on very large data bases,1998
B_1254,opt + + : an object-oriented implementation for extensible database query optimization,"navin kabra , david j. dewitt",the vldb journal -- the international journal on very large data bases,1999
B_1255,constant time permutation : an efficient block allocation strategy for variable-bit-rate continuous media data,"yueh-min huang , jen-wen ding , shiao-li tsao",the vldb journal -- the international journal on very large data bases,1999
B_1256,the intrinsic problems of structural heterogeneity and an approach to their solution,"theo h &#228; rder , g &#252; nter sauter , joachim thomas",the vldb journal -- the international journal on very large data bases,1999
B_1257,fast joins using join indices,"zhe li , kenneth a. ross",the vldb journal -- the international journal on very large data bases,1999
B_1258,efficient support for interactive service in multi-resolution vod systems,"kelvin k. w. law , john c. s. lui , leana golubchik",the vldb journal -- the international journal on very large data bases,1999
B_1259,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution,"goksel aslan , dennis mcleod",the vldb journal -- the international journal on very large data bases,1999
B_1260,mil primitives for querying a fragmented world,"peter a. boncz , martin l. kersten",the vldb journal -- the international journal on very large data bases,1999
B_1261,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis,"natalija krivokapi &#263; , alfons kemper , ehud gudes",the vldb journal -- the international journal on very large data bases,1999
B_1262,indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"changzhou wang , x. sean wang",the vldb journal -- the international journal on very large data bases,2001
B_1263,a graph-theoretic model for optimizing queries involving methods,"chiang lee , chi-sheng shih , yaw-huei chen",the vldb journal -- the international journal on very large data bases,2001
B_1264,hmap - a temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,"carlo combi , giuseppe pozzi",the vldb journal -- the international journal on very large data bases,2001
B_1265,supporting efficient multimedia database exploration,"wen-syan li , k.sel &#231; uk candan , kyoji hirata , yoshinori hara",the vldb journal -- the international journal on very large data bases,2001
B_1266,progressive evaluation of nested aggregate queries,"kian-lee tan , cheng hian goh , beng chin ooi",the vldb journal -- the international journal on very large data bases,2000
B_1267,combining multi-visual features for efficient indexing in a large image database,"anne h. h. ngu , quan z. sheng , du q. huynh , ron lei",the vldb journal -- the international journal on very large data bases,2001
B_1268,optimizing database architecture for the new bottleneck : memory access,"stefan manegold , peter a. boncz , martin l. kersten",the vldb journal -- the international journal on very large data bases,2000
B_1269,online dynamic reordering,"vijayshankar raman , bhaskaran raman , joseph m. hellerstein",the vldb journal -- the international journal on very large data bases,2000
B_1270,exploiting early sorting and early partitioning for decision support query processing,"j. claussen , a. kemper , d. kossmann , c. wiesner",the vldb journal -- the international journal on very large data bases,2000
B_1271,one-dimensional and multi-dimensional substring selectivity estimation,"h. v. jagadish , olga kapitskaia , raymond t. ng , divesh srivastava",the vldb journal -- the international journal on very large data bases,2000
B_1272,guest editorial,malcolm p. atkinson,the vldb journal -- the international journal on very large data bases,2000
B_1273,context-based prefetch - an optimization for implementing objects on relations,"philip a. bernstein , shankar pal , david shutt",the vldb journal -- the international journal on very large data bases,2000
B_1274,view management in multimedia databases,"k. sel &#231; uk candan , eric lemar , v. s. subrahmanian",the vldb journal -- the international journal on very large data bases,2000
B_1275,dynamic vp-tree indexing for n-nearest neighbor search given pair-wise distances,"ada wai-chee fu , polly mei-shuen chan , yin-ling cheung , yiu sang moon",the vldb journal -- the international journal on very large data bases,2000
B_1276,unql : a query language and algebra for semistructured data based on structural recursion,"peter buneman , mary fernandez , dan suciu",the vldb journal -- the international journal on very large data bases,2000
B_1277,checking the temporal integrity of interactive multimedia documents,"i. mirbel , b. pernici , t. sellis , s. tserkezoglou , m. vazirgiannis",the vldb journal -- the international journal on very large data bases,2000
B_1278,declarative specification of web sites with s,"mary fern &#225; ndez , daniela florescu , alon levy , dan suciu",the vldb journal -- the international journal on very large data bases,2000
B_1279,analysis of navigation behaviour in web sites integrating multiple information systems,"bettina berendt , myra spiliopoulou",the vldb journal -- the international journal on very large data bases,2000
B_1280,mining multi-dimensional constrained gradients in data cubes,"guozhu dong , jiawei han , joyce m. w. lam , jian pei , ke wang",very large data bases,2001
B_1281,storage and querying of e-commerce data,"rakesh agrawal , amit somani , yirong xu",very large data bases,2001
B_1282,surfing wavelets on streams : one-pass summaries for approximate aggregate queries,"anna c. gilbert , yannis kotidis , s. muthukrishnan , martin strauss",very large data bases,2001
B_1283,data staging for on-demand broadcast,"demet aksoy , michael j. franklin , stanley b. zdonik",very large data bases,2001
B_1284,data management for pervasive computing,"mitch cherniack , michael j. franklin , stanley b. zdonik",very large data bases,2001
B_1285,flexible and scalable digital library search,"henk ernst blok , menzo windhouwer , roelof van zwol , milan petkovic , peter m. g. apers , martin l. kersten , willem jonker",very large data bases,2001
B_1286,indexing the distance : an efficient method to knn processing,"cui yu , beng chin ooi , kian-lee tan , h. v. jagadish",very large data bases,2001
B_1287,an extendible hash for multi-precision similarity querying of image databases,"shu lin , m. tamer &#214; zsu , vincent oria , raymond t. ng",very large data bases,2001
B_1288,collaborative analytical processing - dream or reality ? ( panel abstract ),"william o'connell , andrew witkowski , goetz graefe",very large data bases,2001
B_1289,a data warehousing architecture for enabling service provisioning process,yannis kotidis,very large data bases,2001
B_1290,aggregate maintenance for data warehousing in informix red brick vista,"craig j. bunker , latha s. colby , richard l. cole , william j. mckenna , gopal mulagund , david wilhite",very large data bases,2001
B_1291,self-similarity in the web,"stephen dill , ravi kumar , kevin s. mccurley , sridhar rajagopalan , d. sivakumar , andrew tomkins",very large data bases,2001
B_1292,supervised wrapper generation with lixto,"robert baumgartner , sergio flesca , georg gottlob",very large data bases,2001
B_1293,dynamic pipeline scheduling for improving interactive query performance,"tolga urhan , michael j. franklin",very large data bases,2001
B_1294,enabling end-users to construct data-intensive web-sites from xml repositories : an example-based approach,"atsuyuki morishima , seiichi koizumi , hiroyuki kitagawa , satoshi takano",very large data bases,2001
B_1295,the worlinfo assistant : spatio-temporal information integration on the web,"jos &#233; luis ambite , craig a. knoblock , mohammad r. kolahdouzan , maria muslea , cyrus shahabi , snehal thakkar",very large data bases,2001
B_1296,views in a large scale xml repository,"sophie cluet , pierangelo veltri , dan vodislav",very large data bases,2001
B_1297,automated resolution of semantic heterogeneity in multidatabases,"m. w. bright , a. r. hurson , s. pakzad",acm transactions on database systems ( tods ),1994
B_1298,comparing hybrid peer-to-peer systems,"beverly yang , hector garcia-molina",very large data bases,2001
B_1299,using semantic values to facilitate interoperability among heterogeneous information systems,"edward sciore , michael siegel , arnon rosenthal",acm transactions on database systems ( tods ),1994
B_1300,"improving business process quality through exception understanding , prediction , and prevention","daniela grigori , fabio casati , umeshwar dayal , ming-chien shan",very large data bases,2001
B_1301,on completeness of historical relational query languages,"james clifford , albert croker , alexander tuzhilin",acm transactions on database systems ( tods ),1994
B_1302,generic schema matching with cupid,"jayant madhavan , philip a. bernstein , erhard rahm",very large data bases,2001
B_1303,tools and transformations-rigorous and otherwise-for practical database design,"arnon rosenthal , david reiner",acm transactions on database systems ( tods ),1994
B_1304,an evaluation of generic bulk loading techniques,"jochen van den bercken , bernhard seeger",very large data bases,2001
B_1305,in memory of bob kooi ( 1951-1993 ),michael stonebraker,acm sigmod record,1994
B_1306,fast evaluation techniques for complex similarity queries,"klemens b &#246; hm , michael mlivoncic , hans-j &#246; rg schek , roger weber",very large data bases,2001
B_1307,observations on the odmg-93 proposal for an object-oriented database language,won kim,acm sigmod record,1994
B_1308,visual web information extraction with lixto,"robert baumgartner , sergio flesca , georg gottlob",very large data bases,2001
B_1309,amalgamating knowledge bases,v. s. subrahmanian,acm transactions on database systems ( tods ),1994
B_1310,webfilter : a high-throughput xml-based publish and subscribe system,"jo &#227; o pereira , fran &#231; oise fabret , hans-arno jacobsen , fran &#231; ois llirbat , dennis shasha",very large data bases,2001
B_1311,index structures for selective dissemination of information under the boolean model,"tak w. yan , h &#233; ctor garc &#237; a-molina",acm transactions on database systems ( tods ),1994
B_1312,ontology-based support for digital government,"athman bouguettaya , ahmed k. elmagarmid , brahim medjahed , m. ouzzani",very large data bases,2001
B_1313,a fast index for semistructured data,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",very large data bases,2001
B_1314,the propel distributed services platform,"michael j. carey , steve kirsch , mary roth , bert van der linden , nicolas adiba , michael blow , daniela florescu , david li , ivan oprencak , rajendra panwar , runping qi , david rieber , john c. shafer , brian sterling , tolga urhan , brian vickery , dan wineman , kuan yee",very large data bases,2001
B_1315,approximate string joins in a database ( almost ) for free,"luis gravano , panagiotis g. ipeirotis , h. v. jagadish , nick koudas , s. muthukrishnan , divesh srivastava",very large data bases,2001
B_1316,change-centric management of versions in an xml warehouse,"am &#233; lie marian , serge abiteboul , gregory cobena , laurent mignet",very large data bases,2001
B_1317,a taxonomy for secure object-oriented databases,"martin s. olivier , sebastiaan h. von solms",acm transactions on database systems ( tods ),1994
B_1318,vxmlr : a visual xml-relational database system,"aoying zhou , hongjun lu , shihui zheng , yuqi liang , long zhang , wenyun ji , zengping tian",very large data bases,2001
B_1319,a modified random perturbation method for database security,"patrick tendick , norman matloff",acm transactions on database systems ( tods ),1994
B_1320,querying xml views of relational data,"jayavel shanmugasundaram , jerry kiernan , eugene j. shekita , catalina fan , john funderburk",very large data bases,2001
B_1321,hyperqueries : dynamic distributed query processing on the internet,"alfons kemper , christian wiesner",very large data bases,2001
B_1322,altruistic locking,"kenneth salem , h &#233; ctor garc &#237; a-molina , jeannie shands",acm transactions on database systems ( tods ),1994
B_1323,warlock : a data allocation tool for parallel warehouses,"thomas st &#246; hr , erhard rahm",very large data bases,2001
B_1324,discovery of influence sets in frequently updated databases,"ioana stanoi , mirek riedewald , divyakant agrawal , amr el abbadi",very large data bases,2001
B_1325,operating system extensions for the teradata parallel vldb,"john catozzi , sorana rabinovici",very large data bases,2001
B_1326,query engines for web-accessible xml data,"leonidas fegaras , ramez elmasri",very large data bases,2001
B_1327,warehousing workflow data : challenges and opportunities,"angela bonifati , fabio casati , umeshwar dayal , ming-chien shan",very large data bases,2001
B_1328,"business process coordination : state of the art , trends , and open issues","umeshwar dayal , meichun hsu , rivka ladin",very large data bases,2001
B_1329,analyzing quantitative databases : image is everything,"amihood amir , reuven kashi , nathan s. netanyahu",very large data bases,2001
B_1330,tavant system architecture for sell-side channel management,"srinivasa narayanan , subbu n. subramanian",very large data bases,2001
B_1331,efficient progressive skyline computation,"kian-lee tan , pin-kwang eng , beng chin ooi",very large data bases,2001
B_1332,a formal perspective on the view selection problem,"rada chirkova , alon y. halevy , dan suciu",very large data bases,2001
B_1333,online scaling in a highly available database,"svein erik bratsberg , rune humborstad",very large data bases,2001
B_1334,dynamic update cube for range-sum queries,"seok-ju chun , chin-wan chung , ju-hong lee , seok-lyong lee",very large data bases,2001
B_1335,functional properties of information filtering,"rie sawai , masahiko tsukamoto , yin-huei loh , tsutomu terada , shojiro nishio",very large data bases,2001
B_1336,leo - db2 's learning optimizer,"michael stillger , guy m. lohman , volker markl , mokhtar kandil",very large data bases,2001
B_1337,storage service providers : a solution for storage management ? ( panel ),"banu &#214; zden , eran gabber , bruce hillyer , wee teck ng , elizabeth a. m. shriver , david j. dewitt , bruce gordon , jim gray , john wilkes",very large data bases,2001
B_1338,distinct sampling for highly-accurate answers to distinct values queries and event reports,phillip b. gibbons,very large data bases,2001
B_1339,are web services the next revolution in e-commerce ? ( panel ),"shalom tsur , serge abiteboul , rakesh agrawal , umeshwar dayal , johannes klein , gerhard weikum",very large data bases,2001
B_1340,smooth - a distributed multimedia database system,"harald kosch , l &#225; szl &#243; b &#246; sz &#246; rm &#233; nyi , alexander bachlechner , christian hanin , christian hofbauer , margit lang , carmen riedler , roland tusch",very large data bases,2001
B_1341,navigating large-scale semi-structured data in business portals,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",very large data bases,2001
B_1342,approximate query processing : taming the terabytes,"minos n. garofalakis , phillip b. gibbon",very large data bases,2001
B_1343,user-optimizer communication using abstract plans in sybase ase,"mihnea andrei , patrick valduriez",very large data bases,2001
B_1344,c2p : clustering based on closest pairs,"alexandros nanopoulos , yannis theodoridis , yannis manolopoulos",very large data bases,2001
B_1345,caching technologies for web applications,c. mohan,very large data bases,2001
B_1346,developing an indexing scheme for xml document collection using the oracle8i extensibility framework,"seema sundara , ying hu , timothy chorma , nipun agarwal , jagannathan srinivasan",very large data bases,2001
B_1347,update propagation strategies for improving the quality of data on the web,"alexandros labrinidis , nick roussopoulos",very large data bases,2001
B_1348,mv3r-tree : a spatio-temporal access method for timestamp and interval queries,"yufei tao , dimitris papadias",very large data bases,2001
B_1349,a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration,"anindya datta , kaushik dutta , helen m. thomas , debra e. vandermeer , krithi ramamritham , dan fishman",very large data bases,2001
B_1350,supporting incremental join queries on ranked inputs,"apostol natsev , yuan-chi chang , john r. smith , chung-sheng li , jeffrey scott vitter",very large data bases,2001
B_1351,intelligent rollups in multidimensional olap data,"gayatri sathe , sunita sarawagi",very large data bases,2001
B_1352,weaving relations for cache performance,"anastassia ailamaki , david j. dewitt , mark d. hill , marios skounakis",very large data bases,2001
B_1353,answering xml queries on heterogeneous data sources,"ioana manolescu , daniela florescu , donald kossmann",very large data bases,2001
B_1354,architectures for internal web services deployment,oded shmueli,very large data bases,2001
B_1355,cheetah : a lightweight transaction server for plug-and-play internet data management,"guy pardon , gustavo alonso",very large data bases,2000
B_1356,concurrency in the data warehouse,richard taylor,very large data bases,2000
B_1357,evolution of groupware for business applications : a database perspective on lotus domino/notes,"c. mohan , ron barber , s. watts , a. somani , markos zaharioudakis",very large data bases,2000
B_1358,"biodiversity informatics : the challenge of rapid development , large databases , and complex data ( keynote )","meridith a. lane , james l. edwards , ebbe nielsen",very large data bases,2000
B_1359,"do n't be lazy , be consistent : postgres-r , a new way to implement database replication","bettina kemme , gustavo alonso",very large data bases,2000
B_1360,focused crawling using context graphs,"michelangelo diligenti , frans coetzee , steve lawrence , c. lee giles , marco gori",very large data bases,2000
B_1361,an ultra highly available dbms,"svein-olaf hvasshovd , svein erik bratsberg , &#216; ystein torbj &#248; rnsen",very large data bases,2000
B_1362,local dimensionality reduction : a new approach to indexing high dimensional spaces,"kaushik chakrabarti , sharad mehrotra",very large data bases,2000
B_1363,hierarchical compact cube for range-max queries,"sin yeung lee , tok wang ling , hua-gang li",very large data bases,2000
B_1364,panel : is generic metadata management feasible ?,"philip a. bernstein , laura m. haas , matthias jarke , erhard rahm , gio wiederhold",very large data bases,2000
B_1365,linking business to deliver value : a data management challenge,anand deshpande,very large data bases,2000
B_1366,building scalable internet applications with oracle8i server,"julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky",very large data bases,2000
B_1367,model-based information integration in a neuroscience mediator system,"bertram lud &#228; scher , amarnath gupta , maryann e. martone",very large data bases,2000
B_1368,the 3w model and algebra for unified data mining,"theodore johnson , laks v. s. lakshmanan , raymond t. ng",very large data bases,2000
B_1369,xperanto : middleware for publishing object-relational data as xml documents,"michael j. carey , jerry kiernan , jayavel shanmugasundaram , eugene j. shekita , subbu n. subramanian",very large data bases,2000
B_1370,"panel : future directions of database research - the vldb broadening strategy , part 1",hans-j &#246; rg schek,very large data bases,2000
B_1371,optimizing multi-feature queries for image databases,"ulrich g &#252; ntzer , wolf-tilo balke , werner kie &#223; ling",very large data bases,2000
B_1372,practical applications of triggers and constraints : success and lingering issues ( 10-year award ),"stefano ceri , roberta cochrane , jennifer widom",very large data bases,2000
B_1373,approximating aggregate queries about web pages via random walks,"ziv bar-yossef , alexander berg , steve chien , jittat fakcharoenphol , dror weitz",very large data bases,2000
B_1374,optimizing queries on compressed bitmaps,"sihem amer-yahia , theodore johnson",very large data bases,2000
B_1375,work and information practices in the sciences of biodiversity,geoffrey c. bowker,very large data bases,2000
B_1376,integrating the ub-tree into a database system kernel,"frank ramsak , volker markl , robert fenk , martin zirkel , klaus elhardt , rudolf bayer",very large data bases,2000
B_1377,rainbow : distributed database system for classroom education and experimental research,"abdelsalam helal , hua li",very large data bases,2000
B_1378,telcordia 's database reconciliation and data quality analysis tool,"francesco caruso , munir cochinwala , uma ganapathy , gail lalk , paolo missier",very large data bases,2000
B_1379,"set containment joins : the good , the bad and the ugly","karthikeyan ramasamy , jignesh m. patel , jeffrey f. naughton , raghav kaushik",very large data bases,2000
B_1380,what happens during a join ? dissecting cpu and memory optimization effects,"stefan manegold , peter a. boncz , martin l. kersten",very large data bases,2000
B_1381,"social , educational , and governmental change enabled through information technology","krithi ramamritham , yeha el atfi , carlo batini , michael eitan , valerie gregg , d. b. phatak",very large data bases,2000
B_1382,design and implementation of a genetic-based algorithm for data mining,sunil choenni,very large data bases,2000
B_1383,manipulating interpolated data is easier than you thought,"st &#233; phane grumbach , philippe rigaux , luc segoufin",very large data bases,2000
B_1384,temporal queries in olap,"alberto o. mendelzon , alejandro a. vaisman",very large data bases,2000
B_1385,offering a precision-performance tradeoff for aggregation queries over replicated data,"chris olston , jennifer widom",very large data bases,2000
B_1386,oracle8i index-organized table and its application to new domains,"jagannathan srinivasan , souripriya das , chuck freiwald , eugene inseok chong , mahesh jagannath , aravind yalamanchi , ramkumar krishnan , anh-tuan tran , samuel defazio , jayanta banerjee",very large data bases,2000
B_1387,hypothetical queries in an olap environment,"andrey balmin , thanos papadimitriou , yannis papakonstantinou",very large data bases,2000
B_1388,biodiversity informatics infrastructure : an information commons for the biodiversity community,"gladys a. cotter , barbara t. bauldock",very large data bases,2000
B_1389,demonstration : enabling scalable online personalization on the web,"kaushik dutta , anindya datta , debra e. vandermeer , krithi ramamritham , helen m. thomas",very large data bases,2000
B_1390,icicles : self-tuning samples for approximate query answering,"venkatesh ganti , mong-li lee , raghu ramakrishnan",very large data bases,2000
B_1391,e.piphany epicenter technology overview,sridhar ramaswamy,very large data bases,2000
B_1392,dynamic maintenance of wavelet-based histograms,"yossi matias , jeffrey scott vitter , min wang",very large data bases,2000
B_1393,information integration : the momis project demonstration,"domenico beneventano , sonia bergamaschi , silvana castano , alberto corni , r. guidetti , g. malvezzi , michele melchiori , maurizio vincini",very large data bases,2000
B_1394,computing geographical scopes of web resources,"junyan ding , luis gravano , narayanan shivakumar",very large data bases,2000
B_1395,similarity search for adaptive ellipsoid queries using spatial transformation,"yasushi sakurai , masatoshi yoshikawa , ryoji kataoka , shunsuke uemura",very large data bases,2001
B_1396,agflow : agent-based cross-enterprise workflow management system,"liangzhao zeng , boualem benatallah , phuong nguyen , anne h. h. ngu",very large data bases,2001
B_1397,feedbackbypass : a new approach to interactive similarity query processing,"ilaria bartolini , paolo ciaccia , florian waas",very large data bases,2001
B_1398,crawling the hidden web,"sriram raghavan , hector garcia-molina",very large data bases,2001
B_1399,caching strategies for data-intensive web sites,"khaled yagoub , daniela florescu , val &#233; rie issarny , patrick valduriez",very large data bases,2000
B_1400,novel approaches in query processing for moving object trajectories,"dieter pfoser , christian s. jensen , yannis theodoridis",very large data bases,2000
B_1401,approximate query translation across heterogeneous information sources,"kevin chen-chuan chang , hector garcia-molina",very large data bases,2000
B_1402,the bt-tree : a branched and temporal access method,"linan jiang , betty salzberg , david b. lomet , manuel barrena garc &#237; a",very large data bases,2000
B_1403,a prototype content-based retrieval system that uses virtual images to save space,"leonard brown , le gruenwald",very large data bases,2001
B_1404,"et tu , xml ? the downfall of the relational empire ( abstract )",philip wadler,very large data bases,2001
B_1405,estimating the selectivity of xml path expressions for internet scale applications,"ashraf aboulnaga , alaa r. alameldeen , jeffrey f. naughton",very large data bases,2001
B_1406,indexing and querying xml data for regular path expressions,"quanzhong li , bongki moon",very large data bases,2001
B_1407,transaction timestamping in ( temporal ) databases,"christian s. jensen , david b. lomet",very large data bases,2001
B_1408,efficient index structures for string databases,"tamer kahveci , ambuj k. singh",very large data bases,2001
B_1409,lineage tracing for general data warehouse transformations,"yingwei cui , jennifer widom",very large data bases,2001
B_1410,a database index to large biological sequences,"ela hunt , malcolm p. atkinson , robert w. irving",very large data bases,2001
B_1411,"declarative data cleaning : language , model , and algorithms","helena galhardas , daniela florescu , dennis shasha , eric simon , cristian-augustin saita",very large data bases,2001
B_1412,a sequential pattern query language for supporting instant data mining for e-services,"reza sadri , carlo zaniolo , amir m. zarkesh , jafar adibi",very large data bases,2001
B_1413,storage and retrieval of xml data using relational databases,"surajit chaudhuri , kyuseok shim",very large data bases,2001
B_1414,potter 's wheel : an interactive data cleaning system,"vijayshankar raman , joseph m. hellerstein",very large data bases,2001
B_1415,lopix : a system for xml data integration and manipulation,wolfgang may,very large data bases,2001
B_1416,sit-in : a real-life spatio-temporal information system,"giuseppe sindoni , leonardo tininini , amedea ambrosetti , cristina bedeschi , stefano de francisci , orietta gargano , rossella molinaro , mario paolucci , paola patteri , pina ticca",very large data bases,2001
B_1417,cache portal : technology for accelerating database-driven e-commerce web sites,"wen-syan li , k. sel &#231; uk candan , wang-pin hsiung , oliver po , divyakant agrawal , qiong luo , wei-kuang waine huang , yusuf akca , cemal yilmaz",very large data bases,2001
B_1418,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",very large data bases,2001
B_1419,naos - efficient and modular reactive capabilities in an object-oriented database system,"christine collet , thierry coupaye , t. svensen",very large data bases,1994
B_1420,relating distributed objects,"bruce e. martin , r. g. g. cattell",very large data bases,1994
B_1421,hilbert r-tree : an improved r-tree using fractals,"ibrahim kamel , christos faloutsos",very large data bases,1994
B_1422,an algebraic approach to rule analysis in expert database systems,"elena baralis , jennifer widom",very large data bases,1994
B_1423,declustering databases on heterogeneous disk systems,"ling tony chen , doron rotem , sidhar seshadri",very large data bases,1995
B_1424,improving performance in replicated databases through relaxed coherency,"rainer gallersd &#246; rfer , matthias nicola",very large data bases,1995
B_1425,towards automated performance tuning for complex workloads,"kurt p. brown , manish mehta , michael j. carey , miron livny",very large data bases,1994
B_1426,near neighbor search in large metric spaces,sergey brin,very large data bases,1995
B_1427,the hcc-tree : an efficient index structure for object oriented databases,"b. sreenath , s. seshadri",very large data bases,1994
B_1428,2q : a low overhead high performance buffer management replacement algorithm,"theodore johnson , dennis shasha",very large data bases,1994
B_1429,user interfaces ; who cares ?,stefano spaccapietra,very large data bases,1994
B_1430,"composite events for active databases : semantics , contexts and detection","sharma chakravarthy , v. krishnaprasad , eman anwar , s.-k . kim",very large data bases,1994
B_1431,pc database systems - present and future,philip a. bernstein,very large data bases,1994
B_1432,dali : a high performance main memory storage manager,"h. v. jagadish , daniel f. lieuwen , rajeev rastogi , abraham silberschatz , s. sudarshan",very large data bases,1994
B_1433,materialization : a powerful and ubiquitous abstraction pattern,"alain pirotte , esteban zim &#225; nyi , david massart , tatiana yakusheva",very large data bases,1994
B_1434,scientific databases - state of the art and future directions,"maria zemankova , yannis e. ioannidis",very large data bases,1994
B_1435,towards a cooperative transaction model - the cooperative activity model,"marek rusinkiewicz , wolfgang klas , thomas tesch , j &#252; rgen w &#228; sch , peter muth",very large data bases,1995
B_1436,a product specification database for visual prototyping,"kazutoshi sumiya , kouichi yasutake , hirohiko tanaka , norio sanada , yoshihiko imai",very large data bases,1995
B_1437,managing a db2 parallel edition database,gilles fecteau,very large data bases,1995
B_1438,the fittest survives : an adaptive approach to query optimization,"hongjun lu , kian-lee tan , son dao",very large data bases,1995
B_1439,similarity based retrieval of pictures using indices on spatial relationships,"a. prasad sistla , clement t. yu , chengwen liu , king liu",very large data bases,1995
B_1440,generalized search trees for database systems,"joseph m. hellerstein , jeffrey f. naughton , avi pfeffer",very large data bases,1995
B_1441,a scalable architecture for autonomous heterogeneous database interactions,"steven milliner , athman bouguettaya , mike p. papazoglou",very large data bases,1995
B_1442,coloring away communication in parallel query optimization,"waqar hasan , rajeev motwani",very large data bases,1995
B_1443,discovery of multiple-level association rules from large databases,"jiawei han , yongjian fu",very large data bases,1995
B_1444,document management as a database problem,rudolf bayer,very large data bases,1995
B_1445,bigsur : a system for the management of earth science data,"paul brown , michael stonebraker",very large data bases,1995
B_1446,value-cognizant speculative concurrency control,"azer bestavros , spyridon braoudakis",very large data bases,1995
B_1447,procedures in object-oriented query languages,"kazimierz subieta , yahiko kambayashi , jacek leszczylowski",very large data bases,1995
B_1448,a non-uniform data fragmentation strategy for parallel main-menory database systems,"n. bassiliades , ioannis p. vlahavas",very large data bases,1995
B_1449,"the clustra telecom database : high availability , high throughput , and real-time response","svein-olaf hvasshovd , &#216; ystein torbj &#248; rnsen , svein erik bratsberg , per holager",very large data bases,1995
B_1450,benchmarking spatial join operations with spatial output,"erik g. hoel , hanan samet",very large data bases,1995
B_1451,"fast similarity search in the presence of noise , scaling , and translation in time-series databases","rakesh agrawal , king-ip lin , harpreet s. sawhney , kyuseok shim",very large data bases,1995
B_1452,the oracle warehouse,gary hallmark,very large data bases,1995
B_1453,querying shapes of histories,"rakesh agrawal , giuseppe psaila , edward l. wimmers , mohamed za &#239; t",very large data bases,1995
B_1454,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"kun-lung wu , philip s. yu , jen-yao chung , james z. teng",very large data bases,1995
B_1455,query processing in tertiary memory databases,sunita sarawagi,very large data bases,1995
B_1456,a data transformation system for biological data sources,"peter buneman , susan b. davidson , kyle hart , g. christian overton , limsoon wong",very large data bases,1995
B_1457,"db2 common server : technology , progress , & ; directions",bruce g. lindsay,very large data bases,1995
B_1458,dynamic multi-resource load balancing in parallel database systems,"erhard rahm , robert marek",very large data bases,1995
B_1459,index concurrency control in firm real-time database systems,"brajesh goyal , jayant r. haritsa , s. seshadri , v. srinivasan",very large data bases,1995
B_1460,w3qs : a query system for the world-wide web,"david konopnicki , oded shmueli",very large data bases,1995
B_1461,l/mrp : a buffer management strategy for interactive continuous data flows in a multimedia dbms,"frank moser , achim kraiss , wolfgang klas",very large data bases,1995
B_1462,aggregate-query processing in data warehousing environments,"ashish gupta , venky harinarayan , dallan quass",very large data bases,1995
B_1463,accessing a relational database through an object-oriented database interface,"jack a. orenstein , d. n. kamber",very large data bases,1995
B_1464,db2 query parallelism : staging and implementation,yun wang,very large data bases,1995
B_1465,duplicate removal in information system dissemination,"tak w. yan , hector garcia-molina",very large data bases,1995
B_1466,eager aggregation and lazy aggregation,"weipeng p. yan , per - &#197; ke larson",very large data bases,1995
